"id","especie","altura","circ_tronco_cm","diametro_tronco","seccion","nombre_seccion","inclinacion_peligrosa"
42465,"Fresno europeo","Medio (4 - 8 mts)",78,"Grande",4,"Cuarta Este 햨rea Fundacional",0
11844,"Morera","Alto (> 8 mts)",170,"Grande",6,"Residencial Norte",0
39726,"Paraiso","Alto (> 8 mts)",195,"Grande",1,"Parque Central",0
20293,"Acacia SP","Alto (> 8 mts)",94,"Grande",5,"Residencial Sur",0
34622,"Fresno europeo","Bajo (2 - 4 mts)",46,"Mediano",6,"Residencial Norte",0
26463,"Acacia SP","Medio (4 - 8 mts)",100,"Grande",3,"Parque O'Higgins",0
31346,"Morera","Muy bajo (1 - 2 mts)",20,"Chico",6,"Residencial Norte",0
5464,"Caducifolio","Medio (4 - 8 mts)",50,"Mediano",1,"Parque Central",0
16663,"Morera","Medio (4 - 8 mts)",87,"Grande",4,"Cuarta Oeste",0
10127,"Paraiso","Alto (> 8 mts)",150,"Grande",6,"Residencial Norte",0
15443,"Acacia SP","Medio (4 - 8 mts)",70,"Grande",6,"Residencial Norte",0
32485,"Pltano","Alto (> 8 mts)",260,"Grande",5,"Residencial Sur",0
10525,"Pltano","Alto (> 8 mts)",150,"Grande",7,"Residencial Parque",0
2033,"Morera","Medio (4 - 8 mts)",60,"Mediano",3,"Parque O'Higgins",0
11078,"Acer","Medio (4 - 8 mts)",58,"Mediano",6,"Residencial Norte",0
39900,"Morera","Medio (4 - 8 mts)",180,"Grande",1,"Parque Central",0
12599,"Morera","Alto (> 8 mts)",130,"Grande",4,"Cuarta Oeste",0
10337,"Morera","Medio (4 - 8 mts)",60,"Mediano",6,"Residencial Norte",0
35252,"Eucalyptus","Alto (> 8 mts)",100,"Grande",1,"Parque Central",0
33505,"Pltano","Alto (> 8 mts)",150,"Grande",5,"Residencial Sur",0
15961,"Fresno americano","Medio (4 - 8 mts)",70,"Grande",7,"Residencial Parque",0
36430,"Morera","Alto (> 8 mts)",168,"Grande",6,"Residencial Norte",0
8929,"Morera","Alto (> 8 mts)",198,"Grande",6,"Residencial Norte",0
9355,"Fresno europeo","Medio (4 - 8 mts)",56,"Mediano",4,"Cuarta Oeste",0
19511,"Morera","Alto (> 8 mts)",140,"Grande",4,"Cuarta Oeste",0
7456,"Fresno europeo","Medio (4 - 8 mts)",85,"Grande",5,"Residencial Sur",0
42605,"Morera","Alto (> 8 mts)",190,"Grande",4,"Cuarta Este 햨rea Fundacional",0
30801,"Fresno europeo","Medio (4 - 8 mts)",82,"Grande",6,"Residencial Norte",0
8325,"Morera","Alto (> 8 mts)",68,"Grande",2,"Barrio Civico",0
22820,"Fresno americano","Medio (4 - 8 mts)",28,"Mediano",5,"Residencial Sur",0
33367,"Fresno europeo","Medio (4 - 8 mts)",100,"Grande",5,"Residencial Sur",0
11036,"Fresno europeo","Bajo (2 - 4 mts)",18,"Chico",7,"Residencial Parque",0
44655,"Fresno europeo","Medio (4 - 8 mts)",100,"Grande",4,"Cuarta Este 햨rea Fundacional",0
45825,"Morera","Medio (4 - 8 mts)",243,"Grande",4,"Cuarta Este 햨rea Fundacional",0
24099,"Fresno europeo","Alto (> 8 mts)",134,"Grande",2,"Barrio Civico",0
14406,"Prunas","Bajo (2 - 4 mts)",40,"Mediano",8,"Aeroparque",0
40434,"Fresno europeo","Medio (4 - 8 mts)",75,"Grande",1,"Parque Central",0
12736,"Paraiso","Alto (> 8 mts)",120,"Grande",6,"Residencial Norte",0
6983,"Perenne","Bajo (2 - 4 mts)",100,"Grande",5,"Residencial Sur",0
29898,"Fresno europeo","Alto (> 8 mts)",170,"Grande",2,"Barrio Civico",0
17162,"Fresno europeo","Alto (> 8 mts)",160,"Grande",4,"Cuarta Oeste",0
28901,"Paraiso","Muy bajo (1 - 2 mts)",15,"Chico",2,"Barrio Civico",0
43472,"Prunas","Bajo (2 - 4 mts)",25,"Mediano",4,"Cuarta Este 햨rea Fundacional",0
3247,"Tilo","Medio (4 - 8 mts)",50,"Mediano",4,"Cuarta Este 햨rea Fundacional",0
29902,"Acacia SP","Medio (4 - 8 mts)",160,"Grande",2,"Barrio Civico",0
28847,"Fresno europeo","Alto (> 8 mts)",180,"Grande",1,"Parque Central",0
35968,"Morera","Medio (4 - 8 mts)",145,"Grande",6,"Residencial Norte",0
8966,"Morera","Alto (> 8 mts)",170,"Grande",6,"Residencial Norte",0
12602,"Morera","Alto (> 8 mts)",130,"Grande",4,"Cuarta Oeste",0
4711,"Fresno europeo","Muy bajo (1 - 2 mts)",12,"Chico",4,"Cuarta Oeste",0
43373,"Morera","Muy bajo (1 - 2 mts)",8,"Chico",3,"Parque O'Higgins",0
41848,"Conifera","Alto (> 8 mts)",43,"Mediano",1,"Parque Central",0
3261,"Fresno europeo","Muy bajo (1 - 2 mts)",8,"Chico",4,"Cuarta Este 햨rea Fundacional",0
12031,"Morera","Alto (> 8 mts)",190,"Grande",6,"Residencial Norte",0
5449,"Acacia visco","Bajo (2 - 4 mts)",68,"Grande",1,"Parque Central",0
43401,"Fresno europeo","Muy bajo (1 - 2 mts)",12,"Chico",3,"Parque O'Higgins",0
15351,"Paraiso","Muy bajo (1 - 2 mts)",10,"Chico",6,"Residencial Norte",0
40985,"Morera","Alto (> 8 mts)",145,"Grande",1,"Parque Central",0
29432,"Morera","Alto (> 8 mts)",176,"Grande",2,"Barrio Civico",0
21533,"Fresno europeo","Alto (> 8 mts)",140,"Grande",5,"Residencial Sur",0
34384,"Morera","Alto (> 8 mts)",180,"Grande",6,"Residencial Norte",0
44762,"Morera","Alto (> 8 mts)",189,"Grande",4,"Cuarta Este 햨rea Fundacional",0
47826,"Morera","Alto (> 8 mts)",280,"Grande",4,"Cuarta Este 햨rea Fundacional",0
33751,"Morera","Alto (> 8 mts)",240,"Grande",5,"Residencial Sur",0
45233,"Morera","Alto (> 8 mts)",122,"Grande",4,"Cuarta Este 햨rea Fundacional",0
33082,"Morera","Alto (> 8 mts)",187,"Grande",5,"Residencial Sur",0
47708,"Fresno europeo","Medio (4 - 8 mts)",150,"Grande",4,"Cuarta Este 햨rea Fundacional",0
8109,"Fresno europeo","Muy bajo (1 - 2 mts)",8,"Chico",2,"Barrio Civico",0
35849,"Morera","Alto (> 8 mts)",150,"Grande",6,"Residencial Norte",0
32248,"Morera","Medio (4 - 8 mts)",100,"Grande",5,"Residencial Sur",0
45166,"Fresno europeo","Muy bajo (1 - 2 mts)",2,"Chico",4,"Cuarta Este 햨rea Fundacional",0
34685,"Morera","Alto (> 8 mts)",180,"Grande",6,"Residencial Norte",0
28489,"Morera","Alto (> 8 mts)",170,"Grande",2,"Barrio Civico",0
30208,"Pltano","Alto (> 8 mts)",170,"Grande",3,"Parque O'Higgins",0
3232,"Braquiquito","Bajo (2 - 4 mts)",15,"Chico",4,"Cuarta Este 햨rea Fundacional",0
11483,"Ailanthus","Alto (> 8 mts)",106,"Grande",4,"Cuarta Oeste",0
23261,"Fresno europeo","Medio (4 - 8 mts)",80,"Grande",2,"Barrio Civico",0
5552,"Morera","Alto (> 8 mts)",95,"Grande",1,"Parque Central",0
29474,"Morera","Muy bajo (1 - 2 mts)",10,"Chico",2,"Barrio Civico",0
45267,"Fresno europeo","Alto (> 8 mts)",120,"Grande",4,"Cuarta Este 햨rea Fundacional",0
29845,"Morera","Medio (4 - 8 mts)",68,"Grande",2,"Barrio Civico",0
18285,"Morera","Alto (> 8 mts)",135,"Grande",4,"Cuarta Oeste",0
18423,"Morera","Alto (> 8 mts)",180,"Grande",4,"Cuarta Oeste",0
34548,"Morera","Medio (4 - 8 mts)",150,"Grande",6,"Residencial Norte",0
28457,"Fresno americano","Alto (> 8 mts)",93,"Grande",2,"Barrio Civico",0
11544,"Morera","Alto (> 8 mts)",170,"Grande",6,"Residencial Norte",0
1243,"Acacia SP","Alto (> 8 mts)",60,"Mediano",8,"Aeroparque",0
17057,"Paraiso","Alto (> 8 mts)",195,"Grande",4,"Cuarta Oeste",0
3601,"Ailanthus","Alto (> 8 mts)",40,"Mediano",4,"Cuarta Este 햨rea Fundacional",0
13715,"Caducifolio","Muy bajo (1 - 2 mts)",4,"Chico",6,"Residencial Norte",0
30871,"Fresno europeo","Medio (4 - 8 mts)",80,"Grande",6,"Residencial Norte",0
15172,"Paraiso","Bajo (2 - 4 mts)",27,"Mediano",6,"Residencial Norte",0
44748,"Morera","Alto (> 8 mts)",220,"Grande",4,"Cuarta Este 햨rea Fundacional",0
6969,"Liquidambar","Medio (4 - 8 mts)",22,"Mediano",5,"Residencial Sur",0
35225,"Pltano","Alto (> 8 mts)",228,"Grande",6,"Residencial Norte",0
40065,"Morera","Alto (> 8 mts)",200,"Grande",1,"Parque Central",0
10099,"Fresno europeo","Bajo (2 - 4 mts)",10,"Chico",4,"Cuarta Oeste",0
41570,"Pltano","Alto (> 8 mts)",110,"Grande",1,"Parque Central",0
40495,"Morera","Alto (> 8 mts)",130,"Grande",1,"Parque Central",0
8348,"Morera","Medio (4 - 8 mts)",90,"Grande",2,"Barrio Civico",0
10369,"Paraiso","Alto (> 8 mts)",130,"Grande",6,"Residencial Norte",0
32922,"Morera","Medio (4 - 8 mts)",100,"Grande",5,"Residencial Sur",0
40644,"Pltano","Alto (> 8 mts)",190,"Grande",1,"Parque Central",0
29653,"Morera","Alto (> 8 mts)",182,"Grande",2,"Barrio Civico",0
24875,"Fresno americano","Alto (> 8 mts)",90,"Grande",2,"Barrio Civico",0
3729,"Morera","Medio (4 - 8 mts)",66,"Grande",4,"Cuarta Este 햨rea Fundacional",0
1871,"Acacia SP","Medio (4 - 8 mts)",25,"Mediano",7,"Residencial Parque",0
2844,"Fresno europeo","Bajo (2 - 4 mts)",38,"Mediano",3,"Parque O'Higgins",0
9526,"Morera","Alto (> 8 mts)",106,"Grande",6,"Residencial Norte",0
44361,"Fresno europeo","Bajo (2 - 4 mts)",25,"Mediano",1,"Parque Central",0
36804,"Pltano","Alto (> 8 mts)",290,"Grande",7,"Residencial Parque",0
19519,"Morera","Alto (> 8 mts)",210,"Grande",4,"Cuarta Oeste",0
40476,"Pltano","Alto (> 8 mts)",180,"Grande",1,"Parque Central",0
32020,"Morera","Alto (> 8 mts)",138,"Grande",5,"Residencial Sur",0
29128,"Pltano","Alto (> 8 mts)",180,"Grande",1,"Parque Central",0
28674,"Pltano","Alto (> 8 mts)",109,"Grande",2,"Barrio Civico",0
30069,"Pltano","Alto (> 8 mts)",158,"Grande",3,"Parque O'Higgins",0
24347,"Catalpa","Alto (> 8 mts)",125,"Grande",2,"Barrio Civico",0
20192,"Pltano","Medio (4 - 8 mts)",115,"Grande",5,"Residencial Sur",0
17927,"Morera","Alto (> 8 mts)",135,"Grande",4,"Cuarta Oeste",0
22804,"Fresno americano","Alto (> 8 mts)",78,"Grande",5,"Residencial Sur",0
25674,"Pltano","Alto (> 8 mts)",230,"Grande",2,"Barrio Civico",0
5026,"Perenne","Medio (4 - 8 mts)",30,"Mediano",4,"Cuarta Oeste",0
40083,"Morera","Alto (> 8 mts)",190,"Grande",1,"Parque Central",0
11948,"Fresno europeo","Muy bajo (1 - 2 mts)",33,"Mediano",6,"Residencial Norte",0
25653,"Morera","Alto (> 8 mts)",53,"Mediano",2,"Barrio Civico",0
46214,"Paraiso","Alto (> 8 mts)",178,"Grande",4,"Cuarta Este 햨rea Fundacional",0
11084,"Morera","Alto (> 8 mts)",125,"Grande",6,"Residencial Norte",0
36800,"Pltano","Alto (> 8 mts)",180,"Grande",7,"Residencial Parque",0
41061,"Morera","Alto (> 8 mts)",102,"Grande",1,"Parque Central",0
8349,"Morera","Medio (4 - 8 mts)",68,"Grande",2,"Barrio Civico",0
6367,"Acacia visco","Alto (> 8 mts)",128,"Grande",5,"Residencial Sur",0
14015,"Paraiso sombrilla","Bajo (2 - 4 mts)",90,"Grande",8,"Aeroparque",0
7323,"Morera","Alto (> 8 mts)",100,"Grande",5,"Residencial Sur",0
23936,"Fresno americano","Muy bajo (1 - 2 mts)",18,"Chico",2,"Barrio Civico",0
500,"Morera","Alto (> 8 mts)",138,"Grande",4,"Cuarta Este 햨rea Fundacional",0
11011,"Pltano","Alto (> 8 mts)",66,"Grande",7,"Residencial Parque",0
11917,"Morera","Alto (> 8 mts)",135,"Grande",6,"Residencial Norte",0
24328,"Morera","Alto (> 8 mts)",114,"Grande",2,"Barrio Civico",0
14270,"Paraiso sombrilla","Medio (4 - 8 mts)",110,"Grande",8,"Aeroparque",0
41552,"Acer","Bajo (2 - 4 mts)",88,"Grande",1,"Parque Central",0
3318,"Fresno europeo","Bajo (2 - 4 mts)",66,"Grande",4,"Cuarta Este 햨rea Fundacional",0
12755,"Morera","Alto (> 8 mts)",110,"Grande",6,"Residencial Norte",0
9390,"Fresno europeo","Medio (4 - 8 mts)",60,"Mediano",4,"Cuarta Oeste",0
9370,"Morera","Medio (4 - 8 mts)",146,"Grande",4,"Cuarta Oeste",0
25919,"Paraiso","Alto (> 8 mts)",290,"Grande",2,"Barrio Civico",0
16950,"Morera","Alto (> 8 mts)",140,"Grande",4,"Cuarta Oeste",0
45290,"Paraiso","Medio (4 - 8 mts)",42,"Mediano",4,"Cuarta Este 햨rea Fundacional",0
22995,"Fresno europeo","Alto (> 8 mts)",48,"Mediano",5,"Residencial Sur",0
39872,"Morera","Alto (> 8 mts)",80,"Grande",1,"Parque Central",0
12874,"Jacarand","Medio (4 - 8 mts)",110,"Grande",4,"Cuarta Oeste",0
44851,"Morera","Alto (> 8 mts)",210,"Grande",4,"Cuarta Este 햨rea Fundacional",0
28863,"Morera","Alto (> 8 mts)",160,"Grande",1,"Parque Central",0
10200,"Prunas","Muy bajo (1 - 2 mts)",5,"Chico",6,"Residencial Norte",0
37366,"Paraiso","Bajo (2 - 4 mts)",20,"Chico",6,"Residencial Norte",0
3054,"Morera","Alto (> 8 mts)",95,"Grande",4,"Cuarta Este 햨rea Fundacional",0
33502,"Pltano","Alto (> 8 mts)",130,"Grande",5,"Residencial Sur",0
7421,"Jacarand","Bajo (2 - 4 mts)",12,"Chico",5,"Residencial Sur",0
42114,"Acer","Medio (4 - 8 mts)",95,"Grande",1,"Parque Central",0
1512,"Aguaribay","Medio (4 - 8 mts)",160,"Grande",7,"Residencial Parque",0
25703,"Morera","Alto (> 8 mts)",67,"Grande",2,"Barrio Civico",0
36505,"Pltano","Alto (> 8 mts)",190,"Grande",6,"Residencial Norte",0
41667,"Olmo bola","Medio (4 - 8 mts)",40,"Mediano",1,"Parque Central",0
5567,"Morera","Alto (> 8 mts)",180,"Grande",1,"Parque Central",0
3935,"Morera","Alto (> 8 mts)",90,"Grande",4,"Cuarta Este 햨rea Fundacional",0
7509,"Jacarand","Bajo (2 - 4 mts)",40,"Mediano",5,"Residencial Sur",0
46819,"Pltano","Alto (> 8 mts)",220,"Grande",4,"Cuarta Este 햨rea Fundacional",0
40736,"Perenne","Alto (> 8 mts)",155,"Grande",1,"Parque Central",0
41894,"Conifera","Medio (4 - 8 mts)",70,"Grande",1,"Parque Central",0
42377,"Morera","Bajo (2 - 4 mts)",55,"Mediano",4,"Cuarta Este 햨rea Fundacional",0
31168,"Morera","Medio (4 - 8 mts)",90,"Grande",6,"Residencial Norte",0
24793,"Pltano","Alto (> 8 mts)",265,"Grande",2,"Barrio Civico",0
18912,"Pltano","Alto (> 8 mts)",256,"Grande",4,"Cuarta Oeste",0
8792,"lamo criollo","Alto (> 8 mts)",55,"Mediano",6,"Residencial Norte",0
46836,"Fresno europeo","Alto (> 8 mts)",108,"Grande",4,"Cuarta Oeste",0
5559,"Caducifolio","Muy bajo (1 - 2 mts)",20,"Chico",1,"Parque Central",0
14302,"Fresno europeo","Muy bajo (1 - 2 mts)",10,"Chico",8,"Aeroparque",0
23134,"Olmo comun","Alto (> 8 mts)",190,"Grande",2,"Barrio Civico",0
14542,"Liquidambar","Bajo (2 - 4 mts)",18,"Chico",8,"Aeroparque",0
17049,"Paraiso","Alto (> 8 mts)",210,"Grande",4,"Cuarta Oeste",0
23976,"Morera","Alto (> 8 mts)",104,"Grande",2,"Barrio Civico",0
4915,"Pltano","Alto (> 8 mts)",300,"Grande",4,"Cuarta Oeste",0
47770,"Pltano","Alto (> 8 mts)",154,"Grande",4,"Cuarta Este 햨rea Fundacional",0
16932,"Morera","Alto (> 8 mts)",207,"Grande",4,"Cuarta Oeste",0
42391,"Fresno americano","Medio (4 - 8 mts)",90,"Grande",4,"Cuarta Este 햨rea Fundacional",0
27820,"Morera","Medio (4 - 8 mts)",105,"Grande",3,"Parque O'Higgins",0
18319,"Morera","Alto (> 8 mts)",150,"Grande",4,"Cuarta Oeste",0
43530,"Prunas","Bajo (2 - 4 mts)",26,"Mediano",3,"Parque O'Higgins",0
13499,"Fresno europeo","Muy bajo (1 - 2 mts)",6,"Chico",6,"Residencial Norte",0
33910,"Morera","Muy bajo (1 - 2 mts)",5,"Chico",5,"Residencial Sur",0
5948,"Morera","Alto (> 8 mts)",160,"Grande",1,"Parque Central",0
35760,"Morera","Medio (4 - 8 mts)",120,"Grande",6,"Residencial Norte",0
269,"Morera","Medio (4 - 8 mts)",150,"Grande",4,"Cuarta Este 햨rea Fundacional",0
4328,"Morera","Alto (> 8 mts)",180,"Grande",4,"Cuarta Oeste",0
31636,"Morera","Alto (> 8 mts)",99,"Grande",5,"Residencial Sur",0
29179,"Pltano","Alto (> 8 mts)",240,"Grande",2,"Barrio Civico",0
46581,"Morera","Alto (> 8 mts)",155,"Grande",4,"Cuarta Oeste",0
7601,"Morera","Bajo (2 - 4 mts)",30,"Mediano",5,"Residencial Sur",0
31597,"Morera","Alto (> 8 mts)",150,"Grande",5,"Residencial Sur",0
48184,"Fresno europeo","Alto (> 8 mts)",136,"Grande",4,"Cuarta Este 햨rea Fundacional",0
5541,"Paraiso","Bajo (2 - 4 mts)",120,"Grande",1,"Parque Central",0
35190,"Fresno americano","Alto (> 8 mts)",100,"Grande",1,"Parque Central",0
36669,"Paraiso sombrilla","Bajo (2 - 4 mts)",100,"Grande",7,"Residencial Parque",0
27043,"Pltano","Alto (> 8 mts)",175,"Grande",3,"Parque O'Higgins",0
14106,"Acer","Medio (4 - 8 mts)",30,"Mediano",8,"Aeroparque",0
20467,"Olmo comun","Alto (> 8 mts)",155,"Grande",5,"Residencial Sur",0
43500,"Fresno americano","Medio (4 - 8 mts)",33,"Mediano",3,"Parque O'Higgins",0
48113,"Morera","Alto (> 8 mts)",170,"Grande",4,"Cuarta Este 햨rea Fundacional",0
13236,"Fresno europeo","Alto (> 8 mts)",140,"Grande",6,"Residencial Norte",0
17405,"Paraiso","Medio (4 - 8 mts)",85,"Grande",4,"Cuarta Oeste",0
30446,"Morera","Alto (> 8 mts)",120,"Grande",3,"Parque O'Higgins",0
31969,"Fresno europeo","Medio (4 - 8 mts)",130,"Grande",7,"Residencial Parque",0
47261,"Pltano","Alto (> 8 mts)",220,"Grande",4,"Cuarta Este 햨rea Fundacional",0
39293,"Morera","Alto (> 8 mts)",180,"Grande",6,"Residencial Norte",0
19462,"Caducifolio","Muy bajo (1 - 2 mts)",4,"Chico",4,"Cuarta Oeste",0
12553,"Morera","Alto (> 8 mts)",170,"Grande",4,"Cuarta Oeste",0
23788,"Fresno europeo","Bajo (2 - 4 mts)",42,"Mediano",2,"Barrio Civico",0
7292,"Morera","Alto (> 8 mts)",62,"Grande",2,"Barrio Civico",0
4854,"Fresno europeo","Bajo (2 - 4 mts)",11,"Chico",4,"Cuarta Oeste",0
46726,"Morera","Muy bajo (1 - 2 mts)",2,"Chico",4,"Cuarta Este 햨rea Fundacional",0
29681,"Pltano","Alto (> 8 mts)",116,"Grande",2,"Barrio Civico",0
21627,"Pltano","Alto (> 8 mts)",270,"Grande",5,"Residencial Sur",0
30188,"Morera","Alto (> 8 mts)",140,"Grande",2,"Barrio Civico",0
483,"Fresno europeo","Medio (4 - 8 mts)",150,"Grande",4,"Cuarta Este 햨rea Fundacional",0
28767,"Morera","Medio (4 - 8 mts)",70,"Grande",1,"Parque Central",0
20275,"Fresno americano","Medio (4 - 8 mts)",80,"Grande",5,"Residencial Sur",0
33609,"Fresno americano","Medio (4 - 8 mts)",97,"Grande",5,"Residencial Sur",0
28409,"Morera","Alto (> 8 mts)",150,"Grande",2,"Barrio Civico",0
40488,"Olmo comun","Alto (> 8 mts)",82,"Grande",1,"Parque Central",0
44339,"Pltano","Alto (> 8 mts)",190,"Grande",3,"Parque O'Higgins",0
5781,"Pltano","Medio (4 - 8 mts)",35,"Mediano",1,"Parque Central",0
18331,"Morera","Alto (> 8 mts)",130,"Grande",4,"Cuarta Oeste",0
38435,"Fresno europeo","Bajo (2 - 4 mts)",30,"Mediano",6,"Residencial Norte",0
6296,"Liquidambar","Alto (> 8 mts)",100,"Grande",5,"Residencial Sur",0
42826,"Morera","Medio (4 - 8 mts)",35,"Mediano",4,"Cuarta Este 햨rea Fundacional",0
339,"Morera","Bajo (2 - 4 mts)",36,"Mediano",4,"Cuarta Este 햨rea Fundacional",0
11956,"Acer","Bajo (2 - 4 mts)",70,"Grande",6,"Residencial Norte",0
27545,"Fresno europeo","Alto (> 8 mts)",150,"Grande",3,"Parque O'Higgins",0
34367,"Morera","Alto (> 8 mts)",140,"Grande",6,"Residencial Norte",0
22541,"Fresno europeo","Alto (> 8 mts)",125,"Grande",5,"Residencial Sur",0
2721,"Fresno europeo","Muy bajo (1 - 2 mts)",2,"Chico",3,"Parque O'Higgins",0
18853,"Acacia SP","Alto (> 8 mts)",160,"Grande",4,"Cuarta Oeste",0
14483,"Liquidambar","Bajo (2 - 4 mts)",14,"Chico",8,"Aeroparque",0
37769,"Fresno europeo","Medio (4 - 8 mts)",100,"Grande",6,"Residencial Norte",0
23375,"Fresno americano","Alto (> 8 mts)",108,"Grande",2,"Barrio Civico",0
37538,"Tilo","Muy bajo (1 - 2 mts)",10,"Chico",6,"Residencial Norte",0
20892,"Paraiso sombrilla","Alto (> 8 mts)",140,"Grande",5,"Residencial Sur",0
34080,"Paraiso","Muy bajo (1 - 2 mts)",14,"Chico",5,"Residencial Sur",0
13796,"Morera","Alto (> 8 mts)",160,"Grande",6,"Residencial Norte",0
32874,"Fresno europeo","Alto (> 8 mts)",120,"Grande",5,"Residencial Sur",0
2785,"Fresno europeo","Medio (4 - 8 mts)",120,"Grande",1,"Parque Central",0
4962,"Prunas","Muy bajo (1 - 2 mts)",20,"Chico",4,"Cuarta Oeste",0
6299,"Acer","Medio (4 - 8 mts)",140,"Grande",5,"Residencial Sur",0
5745,"Morera","Bajo (2 - 4 mts)",34,"Mediano",1,"Parque Central",0
3272,"Paraiso","Alto (> 8 mts)",168,"Grande",4,"Cuarta Este 햨rea Fundacional",0
40653,"Morera","Alto (> 8 mts)",200,"Grande",1,"Parque Central",0
5504,"Aguaribay","Bajo (2 - 4 mts)",6,"Chico",1,"Parque Central",0
38871,"Morera","Alto (> 8 mts)",160,"Grande",6,"Residencial Norte",0
1024,"Aguaribay","Medio (4 - 8 mts)",40,"Mediano",8,"Aeroparque",0
45679,"Morera","Alto (> 8 mts)",100,"Grande",4,"Cuarta Este 햨rea Fundacional",0
12167,"Morera","Medio (4 - 8 mts)",90,"Grande",6,"Residencial Norte",0
27958,"Morera","Alto (> 8 mts)",158,"Grande",3,"Parque O'Higgins",0
29010,"Pltano","Alto (> 8 mts)",126,"Grande",1,"Parque Central",0
41371,"Pltano","Alto (> 8 mts)",164,"Grande",1,"Parque Central",0
20909,"Acer","Medio (4 - 8 mts)",76,"Grande",5,"Residencial Sur",0
46057,"Fresno europeo","Medio (4 - 8 mts)",125,"Grande",4,"Cuarta Este 햨rea Fundacional",0
30078,"Pltano","Alto (> 8 mts)",172,"Grande",3,"Parque O'Higgins",0
22120,"Fresno europeo","Alto (> 8 mts)",168,"Grande",5,"Residencial Sur",0
4382,"Morera","Medio (4 - 8 mts)",190,"Grande",4,"Cuarta Oeste",0
21973,"Morera","Alto (> 8 mts)",165,"Grande",5,"Residencial Sur",0
35366,"Caducifolio","Bajo (2 - 4 mts)",26,"Mediano",5,"Residencial Sur",0
349,"Morera","Medio (4 - 8 mts)",150,"Grande",4,"Cuarta Este 햨rea Fundacional",0
40987,"Morera","Alto (> 8 mts)",160,"Grande",1,"Parque Central",0
16793,"Conifera","Bajo (2 - 4 mts)",30,"Mediano",4,"Cuarta Oeste",0
4557,"Morera","Alto (> 8 mts)",120,"Grande",4,"Cuarta Oeste",0
1435,"Paraiso","Muy bajo (1 - 2 mts)",5,"Chico",7,"Residencial Parque",0
